iter	RMSE
0	14.07845322
1	13.15954789
2	12.34479325
3	11.60100197
4	10.90112107
5	10.31942996
6	9.75273961
7	9.265384872
8	8.814502197
9	8.405521341
10	8.050199947
11	7.753632981
12	7.50154337
13	7.26103791
14	7.053662701
15	6.861825053
16	6.683723152
17	6.529765133
18	6.385458732
19	6.269091962
20	6.170885369
21	6.076058721
22	5.988990237
23	5.90736613
24	5.840826591
25	5.763090691
26	5.697582601
27	5.650528603
28	5.609195284
29	5.563418893
30	5.518502029
31	5.485149127
32	5.444333841
33	5.412513009
34	5.377488473
35	5.346750185
36	5.324956088
37	5.306989209
38	5.28938328
39	5.270373837
40	5.254333703
41	5.237837008
42	5.224563764
43	5.213740243
44	5.199767574
45	5.187890033
46	5.166896267
47	5.151732233
48	5.136716063
49	5.119125864
50	5.106187564
51	5.095494758
52	5.093590676
53	5.082081373
54	5.070028402
55	5.06599178
56	5.057552357
57	5.041110504
58	5.036076881
59	5.026398785
60	5.008174076
61	5.003927953
62	4.994967361
63	4.990720509
64	4.982348593
65	4.9762729
66	4.959203361
67	4.950284604
68	4.936384839
69	4.926123426
70	4.917773079
71	4.913947715
72	4.904329012
73	4.894764913
74	4.885388995
75	4.877901581
76	4.871132381
77	4.86512291
78	4.860865159
79	4.852836896
80	4.838839709
81	4.835424005
82	4.827991118
83	4.817515349
84	4.809855886
85	4.804059843
86	4.794686061
87	4.782856749
88	4.773428305
89	4.767013995
90	4.755281732
91	4.744135815
92	4.737852681
93	4.736172374
94	4.729805244
95	4.726210182
96	4.716929383
97	4.71153297
98	4.708345774
99	4.69966018
