iter	Passed	Remaining
0	1	149
1	2	130
2	3	124
3	5	120
4	6	129
5	8	128
6	9	125
7	10	123
8	11	120
9	12	116
10	14	113
11	14	109
12	16	107
13	17	105
14	18	102
15	19	100
16	20	98
17	21	96
18	22	95
19	23	93
20	24	91
21	25	89
22	26	88
23	27	86
24	28	85
25	29	84
26	30	82
27	31	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	39	75
34	40	74
35	41	73
36	42	72
37	43	70
38	44	69
39	45	68
40	47	67
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	61	48
56	62	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	107	2
98	108	1
99	109	0
